Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
20950.0,WDCYR49E03X141381,True,1600veloce,"North Salem, New York 10560",Mercedes-Benz Gelandewagen,2003.0,88000.0,5.0L V8,5-Speed Automatic Transmission,2019-07-16,43750.0
17145.0,8R01C166900,True,Ty_Cary,"Mercer Island, Washington 98040",Ford Mustang 1967-1968,1968.0,22000.0,302ci V8,4-Speed Manual Gearbox,2019-03-18,11000.0
15914.0,194376S112973,True,SLGGR,"Topeka, Kansas 66614",Chevrolet Corvette C2,1966.0,72000.0,Numbers-Matching 427ci L72 V8,4-Speed Manual Transmission,2019-01-30,83000.0
12907.0,11304212019213,True,1967SL,"Springfield, Massachusetts 01101",Mercedes-Benz W113 SL,1967.0,75000.0,2.3L Inline-Six,Automatic Transmission,2018-10-04,64000.0
15615.0,WDCYR71E95X162164,True,Binky007,"Los Angeles, California 90049",Mercedes-Benz Gelandewagen,2005.0,69000.0,Supercharged 5.5-Liter V8,5-Speed Automatic Transmission,2019-01-17,56500.0
19033.0,,True,JWoodhouse,"Saskatoon, Saskatchewan, Canada",,,,No Engine Data Found,,2019-05-21,6100.0
15906.0,WP0AA2A80EK171960,True,PorscheRcr13,"Englewood, Colorado 80111",Porsche Cayman,2014.0,20445.0,2.7L Flat-Six,6-Speed Manual Transmission,2019-01-29,34250.0
20738.0,116612097,True,mikem.ckc,"Oakland, California 94601",Volkswagen Beetle,,9000.0,"1,600cc Flat-Four",4-Speed Manual Transaxle,2019-07-09,22000.0
14298.0,WP0AA0946EN462323,True,Redlich51,"Amelia, Ohio 45102",Porsche 944,1984.0,98000.0,2.5L Inline-Four,5-Speed Manual Transmission,2018-11-23,8356.0
16444.0,WP0AA0950GN154625,True,wnaegeli449,"Calverton, New York 11933",Porsche 944 Turbo,1986.0,35000.0,Turbocharged 2.5L Inline-Four,5-Speed Manual,2019-02-19,27500.0
19278.0,WMWRE33473TD64475,True,mnirips2,"Hampshire, Illinois 60140",Mini Modern,2003.0,83000.0,Supercharged 1.6L Inline-Four,6-Speed Manual,2019-05-28,8753.0
12791.0,6110919,True,dgclassiccars,"Piacenza, Italy",Fiat 500,1972.0,,499cc 2-Cylinder,4-Speed Manual,2018-10-01,8000.0
13883.0,WDBEA66E3PB837881,True,too_many_cars,"Davidsonville, Maryland 21035",Mercedes-Benz W124 E-Class,1993.0,136000.0,3.2L DOHC Inline-Six,Automatic Transmission,2018-11-08,11351.0
16469.0,ZFFYR51A7X0118880,True,jit.jayakumar,"Austin, Texas",Ferrari 360,1999.0,3000.0,3.6-Liter DOHC V8,6-Speed F1 Sequential Gearbox,2019-02-20,84502.0
18762.0,WAURD68D91A088545,True,TTZMatt,"Muncy, Pennsylvania 17756",Audi S4,2001.0,146000.0,Twin-Turbocharged 2.7L V6,6-Speed Manual Transmission,2019-05-13,11550.0
18028.0,HLS30-204639,True,jlenownnab,"Cincinnati, Ohio 45244",Datsun 280Z,1975.0,117000.0,2.8-Liter Straight-Six,5-Speed Manual Gearbox,2019-04-17,16539.0
18892.0,5UMBT93556LY52858,True,Dean_Laumbach,"Neptune, New Jersey 07753",BMW Z4 M Coupe,2006.0,104000.0,3.2-Liter S54 Inline-Six,6-Speed Manual Transmission,2019-05-16,17250.0
13314.0,YS3AL76L3R7000660,True,dna.autowholesale,"Moonachie, New Jersey 07074",Saab 900,1994.0,111000.0,Turbocharged 2.0L 16-Valve Inline-Four,3-Speed Automatic Transmission,2018-10-18,12500.0
16083.0,WP0AB2963MS410853,True,dgauto,"Flint, Michigan 48503",Porsche 964 911,1991.0,99000.0,3.6-Liter Flat-Six,4-Speed Tiptronic Transmission,2019-02-05,40000.0
