,Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
0,24412,WDBBA48D9KA096758,True,curtispopp7,"Sacramento, California 95815",Mercedes-Benz R107 SL,1989,252000,5.5-Liter V8,Four-Speed Automatic Transmission,,5750
1,24399,WBSKG9C52BE368856,True,eZCPeezy,"Santa Barbara, California 93101",BMW E90/E92/E93 M3,2011,111000,4.0-Liter S65 V8,Six-Speed Manual Transmission,,20000
2,24308,143436,True,huskyrider,"Cave Creek, Arizona 85331",,1956,,2-Stroke 125cc Single,4-Speed Transmission,,1150
3,24231,WP0CA2989XU631797,True,greatdanems,"Fort Lauderdale, Florida 33309",Porsche Boxster,1999,24000,2.5-Liter Flat-Six,Five-Speed Manual Transaxle,,11500
4,24327,WP0AA2952HN151481,True,Type911,"Durango, Colorado 81301",Porsche 944 Turbo,1987,57000,Turbocharged 2.5L Inline-Four,Five-Speed Manual Transaxle,,22500
5,24441,6R07C188598,True,dj_walls2424,"Gresham, Oregon 97030",Ford Mustang 1964.5-1966,1966,74000,289ci V8,3-Speed Automatic Transmission,,2650
6,24346,SCFAB22332K302831,True,Chef007,"North Hollywood, California 91601",Aston Martin DB7,2002,53000,5.9-Liter V12,Six-Speed Manual Transmission,,18000
7,24343,AR1530444,True,AlfaEvanston,"Buffalo Grove, Illinois 60089",Alfa Romeo 105/115 Series Coupe,1969,93000,Modified 2.0L Twin-Cam Inline-Four,5-Speed Manual Transmission,,18200
8,24404,GHN51JA197486G,True,sharonmac,"Greenwich, Connecticut 06830",MG MGB,1970,22000,1.8-Liter B-Series Inline-Four,5-Speed Manual Transmission,,5000
9,24421,WP0AB2966PS419258,True,911r,"Portland, Oregon 97227",Porsche 964 911,1993,99000,3.6-Liter Flat-Six,G50 Five-Speed Manual Transaxle,,10000
10,24275,11511712017933,True,phopper,"Knoxville, Tennessee 37917",,1974,133000,2.4-Liter Diesel Inline-Four,Four-Speed Automatic Transmission,,1700
11,24376,159578,True,Simca972,"Somers, New York 10589",,1966,88000,944cc Inline-Four,4-Speed Manual Transmission,,5500
12,24258,WDDNG79X87A080426,True,bruce_m,"Doylestown, Pennsylvania 18901",Mercedes-Benz W221 S-Class,2007,91000,Twin-Turbocharged 6.0L V12,Five-Speed Automatic Gearbox,,23000
13,24350,JHMAP11473T005852,True,gfujii,"Herndon, Virginia 20171",Honda S2000,2003,26875,2.0-Liter VTEC Inline-Four,Six-Speed Manual Transmission,,15000
